,Period,Team,Type,Scorer,Assist1,Assist2,Season Goal Number,Time in Game,Time in Period,Home Team,Date,Game Goal Number,Team Goal Number,Seconds,Winner,HomeGoal,AwayGoal,Impact,Season
33,2,NSH,,Colton Sissons , Craig Smith,Roman Josi,1,00:39:15,00:19:15,NSH,2017-10-17,4,3,2355.0,NSH,3.0,1.0,Insurance Goal,2018
34,3,NSH,,Austin Watson , Alexei Emelin,,1,00:44:08,00:04:08,NSH,2017-10-17,5,4,2648.0,NSH,4.0,1.0,Insurance Goal,2018
35,3,NSH,,Colton Sissons , Kevin Fiala,,2,00:43:49,00:03:49,PHI,2017-10-19,1,1,2629.0,NSH,0.0,1.0,Go-Ahead Goal,2018
36,1,NYR,,Jesper Fast , Kevin Hayes,,1,00:14:58,00:14:58,NYR,2017-10-21,1,1,898.0,NYR,1.0,0.0,Go-Ahead Goal,2018
37,1,NYR,PP,Chris Kreider , J.T. Miller,David Desharnais,1,00:19:34,00:19:34,NYR,2017-10-21,2,2,1174.0,NYR,2.0,0.0,Insurance Goal,2018
38,2,NSH,,Mattias Ekholm , Filip Forsberg,,1,00:21:44,00:01:44,NYR,2017-10-21,3,1,1304.0,NYR,2.0,1.0,Go-Ahead Goal,2018
39,2,NYR,,Kevin Hayes , Jimmy Vesey,Brady Skjei,3,00:32:46,00:12:46,NYR,2017-10-21,4,3,1966.0,NYR,3.0,1.0,Insurance Goal,2018
40,2,NSH,,Filip Forsberg , Roman Josi,Ryan Johansen,6,00:35:30,00:15:30,NYR,2017-10-21,5,2,2130.0,NYR,3.0,2.0,Go-Ahead Goal,2018
41,3,NYR,EN,Jimmy Vesey , Brendan Smith,,1,00:59:21,00:19:21,NYR,2017-10-21,6,4,3561.0,NYR,4.0,2.0,Insurance Goal,2018
42,1,NSH,PP,Filip Forsberg , Roman Josi,Scott Hartnell,7,00:06:29,00:06:29,NSH,2017-10-24,1,1,389.0,Shootout,1.0,0.0,Go-Ahead Goal,2018
43,1,NSH,PP,Roman Josi , P.K. Subban,Ryan Johansen,2,00:07:43,00:07:43,NSH,2017-10-24,2,2,463.0,Shootout,2.0,0.0,Insurance Goal,2018
44,3,CGY,,Matthew Tkachuk , Dougie Hamilton,Mikael Backlund,3,00:50:35,00:10:35,NSH,2017-10-24,3,1,3035.0,Shootout,2.0,1.0,Go-Ahead Goal,2018
45,3,CGY,,Micheal Ferland , Johnny Gaudreau,Dougie Hamilton,2,00:52:55,00:12:55,NSH,2017-10-24,4,2,3175.0,Shootout,2.0,2.0,Tie,2018
46,1,CHI,SH,Artem Anisimov , Nick Schmaltz,,2,00:19:34,00:19:34,CHI,2017-10-27,1,1,1174.0,NSH,1.0,0.0,Go-Ahead Goal,2018
47,2,NSH,,Calle Jarnkrok ,,,1,00:20:57,00:00:57,CHI,2017-10-27,2,1,1257.0,NSH,1.0,1.0,Tie,2018
48,2,NSH,PP,Craig Smith , P.K. Subban,Kevin Fiala,2,00:31:02,00:11:02,CHI,2017-10-27,3,2,1862.0,NSH,1.0,2.0,Go-Ahead Goal,2018
49,1,NYI,PP,Jordan Eberle , Ryan Pulock,Anthony Beauvillier,1,00:04:21,00:04:21,NSH,2017-10-28,1,1,261.0,NYI,0.0,1.0,Go-Ahead Goal,2018
50,2,NSH,,Filip Forsberg , Kevin Fiala,Mattias Ekholm,8,00:23:55,00:03:55,NSH,2017-10-28,2,1,1435.0,NYI,1.0,1.0,Tie,2018
51,2,NYI,PP,Ryan Pulock , Anthony Beauvillier,Brock Nelson,1,00:29:49,00:09:49,NSH,2017-10-28,3,2,1789.0,NYI,1.0,2.0,Go-Ahead Goal,2018
52,2,NYI,,Jordan Eberle , Mathew Barzal,Brock Nelson,2,00:39:30,00:19:30,NSH,2017-10-28,4,3,2370.0,NYI,1.0,3.0,Insurance Goal,2018
53,3,NYI,,John Tavares , Anders Lee,,7,00:40:12,00:00:12,NSH,2017-10-28,5,4,2412.0,NYI,1.0,4.0,Insurance Goal,2018
54,3,NYI,,John Tavares , Anders Lee,Jordan Eberle,8,00:42:52,00:02:52,NSH,2017-10-28,6,5,2572.0,NYI,1.0,5.0,Insurance Goal,2018
55,3,NYI,PP,John Tavares , Nick Leddy,Josh Bailey,9,00:47:26,00:07:26,NSH,2017-10-28,7,6,2846.0,NYI,1.0,6.0,Insurance Goal,2018
56,3,NSH,PP,Craig Smith , Mattias Ekholm,Colton Sissons,3,00:53:57,00:13:57,NSH,2017-10-28,8,2,3237.0,NYI,2.0,6.0,Lead Shrink,2018
57,1,SJS,,Joonas Donskoi , Tim Heed,Mikkel Boedker,4,00:15:49,00:15:49,SJS,2017-11-01,1,1,949.0,SJS,1.0,0.0,Go-Ahead Goal,2018
58,2,SJS,,Joe Pavelski , Brenden Dillon,Joe Thornton,4,00:28:17,00:08:17,SJS,2017-11-01,2,2,1697.0,SJS,2.0,0.0,Insurance Goal,2018
59,2,NSH,,Roman Josi , Calle Jarnkrok,,3,00:30:04,00:10:04,SJS,2017-11-01,3,1,1804.0,SJS,2.0,1.0,Go-Ahead Goal,2018
60,2,SJS,PP,Marc-Edouard Vlasic , Kevin Labanc,Joonas Donskoi,1,00:33:50,00:13:50,SJS,2017-11-01,4,3,2030.0,SJS,3.0,1.0,Insurance Goal,2018
61,3,SJS,,Mikkel Boedker , Chris Tierney,Joakim Ryan,2,00:53:43,00:13:43,SJS,2017-11-01,5,4,3223.0,SJS,4.0,1.0,Insurance Goal,2018
62,1,NSH,,Scott Hartnell , Roman Josi,Pontus Aberg,4,00:06:26,00:06:26,ANA,2017-11-03,1,1,386.0,NSH,0.0,1.0,Go-Ahead Goal,2018
63,1,NSH,,Roman Josi , Colton Sissons,,4,00:19:11,00:19:11,ANA,2017-11-03,2,2,1151.0,NSH,0.0,2.0,Insurance Goal,2018
64,2,NSH,,Matt Irwin , Yannick Weber,,1,00:23:05,00:03:05,ANA,2017-11-03,3,3,1385.0,NSH,0.0,3.0,Insurance Goal,2018
65,2,ANA,,Antoine Vermette , Ondrej Kase,Nick Ritchie,3,00:24:24,00:04:24,ANA,2017-11-03,4,1,1464.0,NSH,1.0,3.0,Lead Shrink,2018
66,2,NSH,PP,Viktor Arvidsson , Mattias Ekholm,Kevin Fiala,4,00:37:20,00:17:20,ANA,2017-11-03,5,4,2240.0,NSH,1.0,4.0,Insurance Goal,2018
67,2,ANA,PP,Hampus Lindholm , Rickard Rakell,,2,00:39:45,00:19:45,ANA,2017-11-03,6,2,2385.0,NSH,2.0,4.0,Lead Shrink,2018
68,3,ANA,,Jakob Silfverberg , Derek Grant,Chris Wagner,2,00:47:41,00:07:41,ANA,2017-11-03,7,3,2861.0,NSH,3.0,4.0,Go-Ahead Goal,2018
