,Period,Team,Type,Scorer,Assist1,Assist2,Season Goal Number,Time in Game,Time in Period,Home Team,Date,Game Goal Number,Team Goal Number,Seconds,Winner,HomeGoal,AwayGoal,Impact,Season
653,3,STL,PP,Vince Dunn , Vladimir Tarasenko,Brayden Schenn,3,00:57:34,00:17:34,STL,2017-12-16,2,2,3454.0,STL,2.0,0.0,Insurance Goal,2018
654,2,WPG,,Adam Lowry , Andrew Copp,Brandon Tanev,5,00:24:32,00:04:32,WPG,2017-12-17,1,1,1472.0,WPG,1.0,0.0,Go-Ahead Goal,2018
655,2,WPG,PP,Patrik Laine , Mathieu Perreault,Jacob Trouba,16,00:35:13,00:15:13,WPG,2017-12-17,2,2,2113.0,WPG,2.0,0.0,Insurance Goal,2018
656,3,WPG,,Mark Scheifele , Josh Morrissey,Andrew Copp,15,00:51:54,00:11:54,WPG,2017-12-17,3,3,3114.0,WPG,3.0,0.0,Insurance Goal,2018
657,3,WPG,,Josh Morrissey , Blake Wheeler,Jacob Trouba,5,00:53:45,00:13:45,WPG,2017-12-17,4,4,3225.0,WPG,4.0,0.0,Insurance Goal,2018
658,1,CGY,,Michael Frolik , Mikael Backlund,,7,00:07:58,00:07:58,CGY,2017-12-20,1,1,478.0,CGY,1.0,0.0,Go-Ahead Goal,2018
659,2,STL,PP,Brayden Schenn , Colton Parayko,Paul Stastny,17,00:21:26,00:01:26,CGY,2017-12-20,2,1,1286.0,CGY,1.0,1.0,Tie,2018
660,3,CGY,,Dougie Hamilton , Sean Monahan,T.J. Brodie,4,00:47:57,00:07:57,CGY,2017-12-20,3,2,2877.0,CGY,2.0,1.0,Go-Ahead Goal,2018
661,3,STL,,Tage Thompson , Colton Parayko,Paul Stastny,1,00:49:30,00:09:30,EDM,2017-12-21,1,1,2970.0,EDM,0.0,1.0,Go-Ahead Goal,2018
662,3,EDM,,Mike Cammalleri ,,,5,00:50:08,00:10:08,EDM,2017-12-21,2,1,3008.0,EDM,1.0,1.0,Tie,2018
663,3,STL,,Patrik Berglund , Brayden Schenn,Alex Pietrangelo,4,00:53:22,00:13:22,EDM,2017-12-21,3,2,3202.0,EDM,1.0,2.0,Go-Ahead Goal,2018
664,3,EDM,,Connor McDavid , Leon Draisaitl,Milan Lucic,13,00:56:19,00:16:19,EDM,2017-12-21,4,2,3379.0,EDM,2.0,2.0,Tie,2018
665,3,EDM,,Drake Caggiula , Ryan Nugent-Hopkins,Pat Maroon,5,00:59:10,00:19:10,EDM,2017-12-21,5,3,3550.0,EDM,3.0,2.0,Go-Ahead Goal,2018
666,1,STL,,Patrik Berglund , Dmitrij Jaskin,Kyle Brodziak,5,00:11:17,00:11:17,VAN,2017-12-23,1,1,677.0,STL,0.0,1.0,Go-Ahead Goal,2018
667,2,VAN,,Brock Boeser , Thomas Vanek,Sam Gagner,20,00:21:46,00:01:46,VAN,2017-12-23,2,1,1306.0,STL,1.0,1.0,Tie,2018
668,2,STL,,Kyle Brodziak , Scottie Upshall,,6,00:38:30,00:18:30,VAN,2017-12-23,3,2,2310.0,STL,1.0,2.0,Go-Ahead Goal,2018
669,3,STL,EN,Alex Steen , Vladimir Tarasenko,,4,00:59:07,00:19:07,VAN,2017-12-23,4,3,3547.0,STL,1.0,3.0,Insurance Goal,2018
673,2,DAL,,Mattias Janmark , Jason Spezza,Julius Honka,8,00:23:49,00:03:49,DAL,2017-12-29,1,1,1429.0,DAL,1.0,0.0,Go-Ahead Goal,2018
674,3,STL,,Vladimir Tarasenko ,,,16,00:43:26,00:03:26,DAL,2017-12-29,2,1,2606.0,DAL,1.0,1.0,Tie,2018
675,3,STL,,Tage Thompson , Alex Pietrangelo,Alex Steen,2,00:44:31,00:04:31,DAL,2017-12-29,3,2,2671.0,DAL,1.0,2.0,Go-Ahead Goal,2018
676,3,DAL,,Jamie Benn ,,,16,00:55:10,00:15:10,DAL,2017-12-29,4,2,3310.0,DAL,2.0,2.0,Tie,2018
677,3,DAL,PP,Alexander Radulov , John Klingberg,Esa Lindell,13,00:57:39,00:17:39,DAL,2017-12-29,5,3,3459.0,DAL,3.0,2.0,Go-Ahead Goal,2018
678,3,DAL,EN,Alexander Radulov , Dan Hamhuis,Jamie Benn,14,00:58:21,00:18:21,DAL,2017-12-29,6,4,3501.0,DAL,4.0,2.0,Insurance Goal,2018
679,1,STL,,Kyle Brodziak , Alex Steen,Alex Pietrangelo,7,00:00:43,00:00:43,STL,2017-12-30,1,1,43.0,STL,1.0,0.0,Go-Ahead Goal,2018
680,2,STL,,Patrik Berglund , Alex Pietrangelo,Kyle Brodziak,6,00:20:42,00:00:42,STL,2017-12-30,2,2,1242.0,STL,2.0,0.0,Insurance Goal,2018
681,2,CAR,,Derek Ryan ,,,9,00:28:00,00:08:00,STL,2017-12-30,3,1,1680.0,STL,2.0,1.0,Go-Ahead Goal,2018
682,2,CAR,,Lucas Wallmark , Noah Hanifin,Sebastian Aho,1,00:33:58,00:13:58,STL,2017-12-30,4,2,2038.0,STL,2.0,2.0,Tie,2018
683,3,STL,,Scottie Upshall , Brayden Schenn,Vladimir Tarasenko,6,00:48:58,00:08:58,STL,2017-12-30,5,3,2938.0,STL,3.0,2.0,Go-Ahead Goal,2018
684,1,STL,,Vladimir Tarasenko , Scottie Upshall,,17,00:12:48,00:12:48,STL,2018-01-02,1,1,768.0,Shootout,1.0,0.0,Go-Ahead Goal,2018
685,2,NJD,,Nico Hischier , Sami Vatanen,Jesper Bratt,8,00:32:36,00:12:36,STL,2018-01-02,2,1,1956.0,Shootout,1.0,1.0,Tie,2018
686,2,STL,,Vladimir Sobotka , Tage Thompson,Paul Stastny,8,00:38:08,00:18:08,STL,2018-01-02,3,2,2288.0,Shootout,2.0,1.0,Go-Ahead Goal,2018
687,3,NJD,PP,Taylor Hall , Kyle Palmieri,Will Butcher,13,00:41:17,00:01:17,STL,2018-01-02,4,2,2477.0,Shootout,2.0,2.0,Tie,2018
688,1,STL,,Alex Steen , Brayden Schenn,Colton Parayko,5,00:09:35,00:09:35,STL,2018-01-04,1,1,575.0,STL,1.0,0.0,Go-Ahead Goal,2018
689,2,VEG,,Erik Haula , James Neal,David Perron,15,00:29:23,00:09:23,STL,2018-01-04,2,1,1763.0,STL,1.0,1.0,Tie,2018
690,3,STL,,Paul Stastny , Vladimir Sobotka,Colton Parayko,8,00:45:59,00:05:59,STL,2018-01-04,3,2,2759.0,STL,2.0,1.0,Go-Ahead Goal,2018
691,1,PHI,,Scott Laughton ,,,7,00:02:15,00:02:15,PHI,2018-01-06,1,1,135.0,PHI,1.0,0.0,Go-Ahead Goal,2018
692,1,PHI,,Claude Giroux , Ivan Provorov,,14,00:06:42,00:06:42,PHI,2018-01-06,2,2,402.0,PHI,2.0,0.0,Insurance Goal,2018
693,2,PHI,,Jordan Weal , Jakub Voracek,Andrew MacDonald,5,00:28:32,00:08:32,PHI,2018-01-06,3,3,1712.0,PHI,3.0,0.0,Insurance Goal,2018
694,2,PHI,,Sean Couturier , Claude Giroux,Travis Konecny,20,00:31:45,00:11:45,PHI,2018-01-06,4,4,1905.0,PHI,4.0,0.0,Insurance Goal,2018
695,2,STL,,Ivan Barbashev , Paul Stastny,Vladimir Tarasenko,1,00:34:56,00:14:56,PHI,2018-01-06,5,1,2096.0,PHI,4.0,1.0,Lead Shrink,2018
696,3,STL,,Paul Stastny , Vladimir Tarasenko,Ivan Barbashev,9,00:40:12,00:00:12,PHI,2018-01-06,6,2,2412.0,PHI,4.0,2.0,Lead Shrink,2018
697,3,PHI,PP,Wayne Simmonds , Shayne Gostisbehere,Claude Giroux,14,00:51:18,00:11:18,PHI,2018-01-06,7,5,3078.0,PHI,5.0,2.0,Insurance Goal,2018
698,3,STL,,Colton Parayko , Joel Edmundson,Alex Steen,4,00:55:29,00:15:29,PHI,2018-01-06,8,3,3329.0,PHI,5.0,3.0,Lead Shrink,2018
699,3,PHI,EN,Sean Couturier , Andrew MacDonald,,21,00:59:45,00:19:45,PHI,2018-01-06,9,6,3585.0,PHI,6.0,3.0,Insurance Goal,2018
700,1,WSH,PP,Brett Connolly , Alex Ovechkin,John Carlson,9,00:13:15,00:13:15,WSH,2018-01-07,1,1,795.0,WSH,1.0,0.0,Go-Ahead Goal,2018
701,2,STL,,Vladimir Tarasenko , Ivan Barbashev,Joel Edmundson,18,00:21:18,00:01:18,WSH,2018-01-07,2,1,1278.0,WSH,1.0,1.0,Tie,2018
702,2,STL,PP,Alex Steen , Brayden Schenn,Alex Pietrangelo,6,00:25:02,00:05:02,WSH,2018-01-07,3,2,1502.0,WSH,1.0,2.0,Go-Ahead Goal,2018
703,3,WSH,PP,Alex Ovechkin , John Carlson,Nicklas Backstrom,27,00:48:00,00:08:00,WSH,2018-01-07,4,2,2880.0,WSH,2.0,2.0,Tie,2018
704,3,WSH,,Lars Eller , T.J. Oshie,Madison Bowey,6,00:50:49,00:10:49,WSH,2018-01-07,5,3,3049.0,WSH,3.0,2.0,Go-Ahead Goal,2018
705,3,STL,,Carl Gunnarsson , Patrik Berglund,Tage Thompson,4,00:55:51,00:15:51,WSH,2018-01-07,6,3,3351.0,WSH,3.0,3.0,Tie,2018
706,1,WSH,,Nicklas Backstrom , T.J. Oshie,,9,00:04:17,00:04:17,WSH,2018-01-07,7,4,257.0,WSH,4.0,3.0,Go-Ahead Goal,2018
707,1,STL,,Paul Stastny , Joel Edmundson,Ivan Barbashev,10,00:00:48,00:00:48,STL,2018-01-09,1,1,48.0,FLA,1.0,0.0,Go-Ahead Goal,2018
708,1,STL,,Colton Parayko , Vladimir Tarasenko,Brayden Schenn,5,00:08:05,00:08:05,STL,2018-01-09,2,2,485.0,FLA,2.0,0.0,Insurance Goal,2018
709,1,FLA,,Aaron Ekblad , Keith Yandle,Denis Malgin,7,00:09:14,00:09:14,STL,2018-01-09,3,1,554.0,FLA,2.0,1.0,Go-Ahead Goal,2018
710,1,FLA,,Aleksander Barkov , Jonathan Huberdeau,Evgenii Dadonov,14,00:16:57,00:16:57,STL,2018-01-09,4,2,1017.0,FLA,2.0,2.0,Tie,2018
711,2,STL,,Vladimir Tarasenko , Ivan Barbashev,Paul Stastny,19,00:24:17,00:04:17,STL,2018-01-09,5,3,1457.0,FLA,3.0,2.0,Go-Ahead Goal,2018
712,2,FLA,,Radim Vrbata , Connor Brickley,Vincent Trocheck,5,00:32:23,00:12:23,STL,2018-01-09,6,3,1943.0,FLA,3.0,3.0,Tie,2018
713,2,FLA,,Jonathan Huberdeau , Aleksander Barkov,,16,00:35:55,00:15:55,STL,2018-01-09,7,4,2155.0,FLA,3.0,4.0,Go-Ahead Goal,2018
714,2,FLA,,Vincent Trocheck , Mike Matheson,,16,00:36:37,00:16:37,STL,2018-01-09,8,5,2197.0,FLA,3.0,5.0,Insurance Goal,2018
715,3,FLA,SH,Colton Sceviour , Derek MacKenzie,,6,00:53:02,00:13:02,STL,2018-01-09,9,6,3182.0,FLA,3.0,6.0,Insurance Goal,2018
716,3,STL,,Tage Thompson , Vladimir Sobotka,Alex Pietrangelo,3,00:57:19,00:17:19,STL,2018-01-09,10,4,3439.0,FLA,4.0,6.0,Lead Shrink,2018
717,3,FLA,EN,Vincent Trocheck , Jonathan Huberdeau,Aleksander Barkov,17,00:57:56,00:17:56,STL,2018-01-09,11,7,3476.0,FLA,4.0,7.0,Insurance Goal,2018
718,3,TOR,SH,Connor Brown ,,,11,00:50:10,00:10:10,TOR,2018-01-16,1,1,3010.0,STL,1.0,0.0,Go-Ahead Goal,2018
719,3,STL,,Alex Steen , Alex Pietrangelo,Paul Stastny,7,00:59:03,00:19:03,TOR,2018-01-16,2,1,3543.0,STL,1.0,1.0,Tie,2018
720,1,STL,,Vince Dunn , Paul Stastny,,4,00:01:43,00:01:43,TOR,2018-01-16,3,2,103.0,STL,1.0,2.0,Go-Ahead Goal,2018
721,2,STL,,Vladimir Tarasenko , Robert Bortuzzo,Paul Stastny,20,00:26:13,00:06:13,OTT,2018-01-18,1,1,1573.0,STL,0.0,1.0,Go-Ahead Goal,2018
722,2,STL,,Alex Pietrangelo ,,,8,00:32:51,00:12:51,OTT,2018-01-18,2,2,1971.0,STL,0.0,2.0,Insurance Goal,2018
723,2,STL,,Brayden Schenn , Alex Steen,Vince Dunn,18,00:36:53,00:16:53,OTT,2018-01-18,3,3,2213.0,STL,0.0,3.0,Insurance Goal,2018
724,2,OTT,,Bobby Ryan , Matt Duchene,Cody Ceci,6,00:37:21,00:17:21,OTT,2018-01-18,4,1,2241.0,STL,1.0,3.0,Lead Shrink,2018
725,3,STL,EN,Alex Steen , Brayden Schenn,,8,00:58:42,00:18:42,OTT,2018-01-18,5,4,3522.0,STL,1.0,4.0,Insurance Goal,2018
726,1,ARI,,Zac Rinaldo , Christian Fischer,Max Domi,3,00:01:53,00:01:53,STL,2018-01-20,1,1,113.0,ARI,0.0,1.0,Go-Ahead Goal,2018
727,1,ARI,,Christian Dvorak , Jason Demers,Clayton Keller,6,00:04:02,00:04:02,STL,2018-01-20,2,2,242.0,ARI,0.0,2.0,Insurance Goal,2018
728,1,ARI,,Christian Dvorak , Tobias Rieder,Clayton Keller,7,00:07:06,00:07:06,STL,2018-01-20,3,3,426.0,ARI,0.0,3.0,Insurance Goal,2018
729,1,ARI,,Brendan Perlini , Richard Panik,Luke Schenn,12,00:13:15,00:13:15,STL,2018-01-20,4,4,795.0,ARI,0.0,4.0,Insurance Goal,2018
730,2,ARI,PP,Christian Fischer , Jakob Chychrun,Max Domi,13,00:24:33,00:04:33,STL,2018-01-20,5,5,1473.0,ARI,0.0,5.0,Insurance Goal,2018
731,2,STL,PP,Brayden Schenn ,,,19,00:29:27,00:09:27,STL,2018-01-20,6,1,1767.0,ARI,1.0,5.0,Lead Shrink,2018
732,3,STL,PP,Alex Steen , Patrik Berglund,Vince Dunn,9,00:49:44,00:09:44,STL,2018-01-20,7,2,2984.0,ARI,2.0,5.0,Lead Shrink,2018
733,1,STL,,Vladimir Sobotka , Brayden Schenn,Robert Bortuzzo,9,00:16:21,00:16:21,STL,2018-01-23,1,1,981.0,STL,1.0,0.0,Go-Ahead Goal,2018
734,3,STL,,Vladimir Tarasenko , Colton Parayko,Kyle Brodziak,21,00:46:10,00:06:10,STL,2018-01-23,2,2,2770.0,STL,2.0,0.0,Insurance Goal,2018
735,3,STL,EN,Brayden Schenn , Alex Pietrangelo,Alex Steen,20,00:57:34,00:17:34,STL,2018-01-23,3,3,3454.0,STL,3.0,0.0,Insurance Goal,2018
736,1,STL,PP,Paul Stastny , Alex Pietrangelo,Patrik Berglund,11,00:15:53,00:15:53,STL,2018-01-25,1,1,953.0,STL,1.0,0.0,Go-Ahead Goal,2018
737,2,STL,PP,Brayden Schenn , Alex Steen,Vince Dunn,21,00:31:28,00:11:28,STL,2018-01-25,2,2,1888.0,STL,2.0,0.0,Insurance Goal,2018
738,2,COL,,Alexander Kerfoot , Tyson Jost,Anton Lindholm,12,00:37:09,00:17:09,STL,2018-01-25,3,1,2229.0,STL,2.0,1.0,Go-Ahead Goal,2018
739,3,STL,,Alex Steen , Vladimir Sobotka,Alex Pietrangelo,10,00:58:40,00:18:40,STL,2018-01-25,4,3,3520.0,STL,3.0,1.0,Insurance Goal,2018
740,2,STL,,Ivan Barbashev ,,,2,00:24:38,00:04:38,STL,2018-01-30,1,1,1478.0,STL,1.0,0.0,Go-Ahead Goal,2018
741,3,STL,PP,Patrik Berglund , Tage Thompson,Colton Parayko,7,00:45:14,00:05:14,STL,2018-01-30,2,2,2714.0,STL,2.0,0.0,Insurance Goal,2018
742,3,STL,SHEN,Alex Steen , Kyle Brodziak,,11,00:57:43,00:17:43,STL,2018-01-30,3,3,3463.0,STL,3.0,0.0,Insurance Goal,2018
743,3,MTL,PP,Charles Hudon , Brendan Gallagher,,7,00:58:53,00:18:53,STL,2018-01-30,4,1,3533.0,STL,3.0,1.0,Lead Shrink,2018
744,1,BOS,,David Krejci , Jake Debrusk,Ryan Spooner,9,00:12:32,00:12:32,BOS,2018-02-01,1,1,752.0,BOS,1.0,0.0,Go-Ahead Goal,2018
745,3,BOS,PP,Patrice Bergeron , David Pastrnak,Ryan Spooner,21,00:49:05,00:09:05,BOS,2018-02-01,2,2,2945.0,BOS,2.0,0.0,Insurance Goal,2018
746,3,STL,,Jaden Schwartz , Brayden Schenn,Vladimir Tarasenko,15,00:58:28,00:18:28,BOS,2018-02-01,3,1,3508.0,BOS,2.0,1.0,Go-Ahead Goal,2018
747,3,BOS,EN,David Backes ,,,9,00:59:59,00:19:59,BOS,2018-02-01,4,3,3599.0,BOS,3.0,1.0,Insurance Goal,2018
748,3,STL,,Carl Gunnarsson , Paul Stastny,,5,00:54:19,00:14:19,BUF,2018-02-03,1,1,3259.0,STL,0.0,1.0,Go-Ahead Goal,2018
749,1,STL,,Jaden Schwartz , Colton Parayko,Jay Bouwmeester,16,00:00:45,00:00:45,STL,2018-02-06,1,1,45.0,MIN,1.0,0.0,Go-Ahead Goal,2018
750,1,MIN,,Nino Niederreiter , Gustav Olofsson,Eric Staal,14,00:02:02,00:02:02,STL,2018-02-06,2,1,122.0,MIN,1.0,1.0,Tie,2018
751,1,MIN,,Marcus Foligno , Daniel Winnik,,5,00:16:53,00:16:53,STL,2018-02-06,3,2,1013.0,MIN,1.0,2.0,Go-Ahead Goal,2018
752,1,MIN,PP,Mikko Koivu , Mikael Granlund,Ryan Suter,7,00:18:07,00:18:07,STL,2018-02-06,4,3,1087.0,MIN,1.0,3.0,Insurance Goal,2018
753,2,MIN,,Jason Zucker , Mikael Granlund,,22,00:29:45,00:09:45,STL,2018-02-06,5,4,1785.0,MIN,1.0,4.0,Insurance Goal,2018
754,2,MIN,,Mathew Dumba , Jason Zucker,Mikko Koivu,10,00:36:19,00:16:19,STL,2018-02-06,6,5,2179.0,MIN,1.0,5.0,Insurance Goal,2018
755,3,MIN,PP,Eric Staal , Zach Parise,Jared Spurgeon,23,00:45:05,00:05:05,STL,2018-02-06,7,6,2705.0,MIN,1.0,6.0,Insurance Goal,2018
756,3,STL,,Dmitrij Jaskin , Alex Steen,Colton Parayko,5,00:52:36,00:12:36,STL,2018-02-06,8,2,3156.0,MIN,2.0,6.0,Lead Shrink,2018
757,1,STL,PP,Brayden Schenn , Jaden Schwartz,Vince Dunn,22,00:08:41,00:08:41,STL,2018-02-08,1,1,521.0,STL,1.0,0.0,Go-Ahead Goal,2018
758,2,COL,,Gabriel Bourque ,,,4,00:22:50,00:02:50,STL,2018-02-08,2,1,1370.0,STL,1.0,1.0,Tie,2018
759,2,STL,,Ivan Barbashev , Colton Parayko,Scottie Upshall,3,00:24:17,00:04:17,STL,2018-02-08,3,2,1457.0,STL,2.0,1.0,Go-Ahead Goal,2018
760,2,STL,,Brayden Schenn , Patrik Berglund,,23,00:25:05,00:05:05,STL,2018-02-08,4,3,1505.0,STL,3.0,1.0,Insurance Goal,2018
761,2,STL,,Kyle Brodziak , Alex Steen,Vince Dunn,8,00:27:38,00:07:38,STL,2018-02-08,5,4,1658.0,STL,4.0,1.0,Insurance Goal,2018
762,2,STL,,Alex Pietrangelo , Vince Dunn,Paul Stastny,9,00:35:01,00:15:01,STL,2018-02-08,6,5,2101.0,STL,5.0,1.0,Insurance Goal,2018
763,3,STL,,Paul Stastny , Jay Bouwmeester,Carl Gunnarsson,12,00:46:00,00:06:00,STL,2018-02-08,7,6,2760.0,STL,6.0,1.0,Insurance Goal,2018
764,2,STL,,Vladimir Tarasenko , Alex Steen,,22,00:24:18,00:04:18,WPG,2018-02-09,1,1,1458.0,STL,0.0,1.0,Go-Ahead Goal,2018
765,2,STL,,Patrik Berglund , Robert Bortuzzo,Jaden Schwartz,8,00:30:13,00:10:13,WPG,2018-02-09,2,2,1813.0,STL,0.0,2.0,Insurance Goal,2018
766,2,STL,,Alex Steen , Alex Pietrangelo,,12,00:31:39,00:11:39,WPG,2018-02-09,3,3,1899.0,STL,0.0,3.0,Insurance Goal,2018
767,2,WPG,,Kyle Connor , Jack Roslovic,,18,00:37:33,00:17:33,WPG,2018-02-09,4,1,2253.0,STL,1.0,3.0,Lead Shrink,2018
768,3,WPG,PP,Patrik Laine , Kyle Connor,Blake Wheeler,25,00:51:39,00:11:39,WPG,2018-02-09,5,2,3099.0,STL,2.0,3.0,Go-Ahead Goal,2018
769,3,STL,,Vladimir Tarasenko , Paul Stastny,Jay Bouwmeester,23,00:52:45,00:12:45,WPG,2018-02-09,6,4,3165.0,STL,2.0,4.0,Insurance Goal,2018
770,3,STL,SHEN,Jaden Schwartz ,,,17,00:59:57,00:19:57,WPG,2018-02-09,7,5,3597.0,STL,2.0,5.0,Insurance Goal,2018
771,2,STL,,Kyle Brodziak , Chris Thorburn,Scottie Upshall,9,00:23:10,00:03:10,STL,2018-02-11,1,1,1390.0,PIT,1.0,0.0,Go-Ahead Goal,2018
772,2,PIT,,Sidney Crosby , Conor Sheary,,18,00:23:31,00:03:31,STL,2018-02-11,2,1,1411.0,PIT,1.0,1.0,Tie,2018
773,3,PIT,,Bryan Rust ,,,8,00:41:05,00:01:05,STL,2018-02-11,3,2,2465.0,PIT,1.0,2.0,Go-Ahead Goal,2018
774,3,PIT,,Riley Sheahan , Dominik Simon,,6,00:51:13,00:11:13,STL,2018-02-11,4,3,3073.0,PIT,1.0,3.0,Insurance Goal,2018
775,3,PIT,EN,Sidney Crosby , Dominik Simon,Bryan Rust,19,00:57:12,00:17:12,STL,2018-02-11,5,4,3432.0,PIT,1.0,4.0,Insurance Goal,2018
783,2,DAL,PP,Mattias Janmark , John Klingberg,Martin Hanzal,16,00:22:42,00:02:42,DAL,2018-02-16,1,1,1362.0,DAL,1.0,0.0,Go-Ahead Goal,2018
784,3,DAL,,Stephen Johns , Jamie Benn,Marc Methot,8,00:50:33,00:10:33,DAL,2018-02-16,2,2,3033.0,DAL,2.0,0.0,Insurance Goal,2018
785,3,STL,PP,Brayden Schenn , Jaden Schwartz,Vladimir Tarasenko,24,00:58:46,00:18:46,DAL,2018-02-16,3,1,3526.0,DAL,2.0,1.0,Go-Ahead Goal,2018
786,2,SJS,,Logan Couture , Mikkel Boedker,Justin Braun,24,00:26:35,00:06:35,STL,2018-02-20,1,1,1595.0,SJS,0.0,1.0,Go-Ahead Goal,2018
787,2,STL,,Ivan Barbashev , Kyle Brodziak,Dmitrij Jaskin,4,00:28:23,00:08:23,STL,2018-02-20,2,1,1703.0,SJS,1.0,1.0,Tie,2018
788,2,SJS,,Joonas Donskoi , Logan Couture,Marc-Edouard Vlasic,11,00:32:05,00:12:05,STL,2018-02-20,3,2,1925.0,SJS,1.0,2.0,Go-Ahead Goal,2018
789,2,SJS,,Mikkel Boedker , Chris Tierney,Jannik Hansen,12,00:35:54,00:15:54,STL,2018-02-20,4,3,2154.0,SJS,1.0,3.0,Insurance Goal,2018
790,2,STL,PP,Vladimir Tarasenko , Vince Dunn,,24,00:39:36,00:19:36,STL,2018-02-20,5,2,2376.0,SJS,2.0,3.0,Go-Ahead Goal,2018
791,1,WPG,,Nic Petan , Mark Scheifele,,2,00:10:03,00:10:03,STL,2018-02-23,1,1,603.0,WPG,0.0,1.0,Go-Ahead Goal,2018
792,1,WPG,,Blake Wheeler , Kyle Connor,Mark Scheifele,18,00:10:48,00:10:48,STL,2018-02-23,2,2,648.0,WPG,0.0,2.0,Insurance Goal,2018
793,1,WPG,PP,Kyle Connor , Blake Wheeler,Dustin Byfuglien,22,00:18:31,00:18:31,STL,2018-02-23,3,3,1111.0,WPG,0.0,3.0,Insurance Goal,2018
794,2,WPG,,Patrik Laine , Nikolaj Ehlers,Andrew Copp,29,00:26:04,00:06:04,STL,2018-02-23,4,4,1564.0,WPG,0.0,4.0,Insurance Goal,2018
799,1,MIN,PP,Jason Zucker , Ryan Suter,Eric Staal,26,00:02:57,00:02:57,MIN,2018-02-27,1,1,177.0,MIN,1.0,0.0,Go-Ahead Goal,2018
800,1,MIN,,Mikael Granlund , Eric Staal,Jason Zucker,18,00:07:13,00:07:13,MIN,2018-02-27,2,2,433.0,MIN,2.0,0.0,Insurance Goal,2018
801,1,STL,,Vladimir Tarasenko , Brayden Schenn,Alex Steen,25,00:09:59,00:09:59,MIN,2018-02-27,3,1,599.0,MIN,2.0,1.0,Go-Ahead Goal,2018
802,1,MIN,,Mikael Granlund , Nick Seeler,Nate Prosser,19,00:11:17,00:11:17,MIN,2018-02-27,4,3,677.0,MIN,3.0,1.0,Insurance Goal,2018
803,2,STL,,Alex Pietrangelo , Jaden Schwartz,Jay Bouwmeester,10,00:20:15,00:00:15,MIN,2018-02-27,5,2,1215.0,MIN,3.0,2.0,Go-Ahead Goal,2018
804,2,MIN,PP,Eric Staal , Jason Zucker,Ryan Suter,31,00:28:19,00:08:19,MIN,2018-02-27,6,4,1699.0,MIN,4.0,2.0,Insurance Goal,2018
805,2,MIN,,Mikko Koivu , Charlie Coyle,Zach Parise,10,00:37:07,00:17:07,MIN,2018-02-27,7,5,2227.0,MIN,5.0,2.0,Insurance Goal,2018
806,2,STL,PP,Vladimir Tarasenko , Jaden Schwartz,Alex Steen,26,00:38:32,00:18:32,MIN,2018-02-27,8,3,2312.0,MIN,5.0,3.0,Lead Shrink,2018
807,2,MIN,,Jared Spurgeon , Mikael Granlund,Ryan Suter,9,00:39:44,00:19:44,MIN,2018-02-27,9,6,2384.0,MIN,6.0,3.0,Insurance Goal,2018
808,3,MIN,,Eric Staal , Jason Zucker,Mikko Koivu,32,00:47:46,00:07:46,MIN,2018-02-27,10,7,2866.0,MIN,7.0,3.0,Insurance Goal,2018
809,3,MIN,,Eric Staal , Jason Zucker,Mikael Granlund,33,00:50:54,00:10:54,MIN,2018-02-27,11,8,3054.0,MIN,8.0,3.0,Insurance Goal,2018
810,2,STL,,Scottie Upshall , Colton Parayko,Kyle Brodziak,7,00:21:12,00:01:12,STL,2018-02-28,1,1,1272.0,STL,1.0,0.0,Go-Ahead Goal,2018
811,3,STL,,Alex Pietrangelo , Jaden Schwartz,Brayden Schenn,11,00:54:37,00:14:37,STL,2018-02-28,2,2,3277.0,STL,2.0,0.0,Insurance Goal,2018
812,3,DET,,Andreas Athanasiou , Tyler Bertuzzi,,13,00:58:15,00:18:15,STL,2018-02-28,3,1,3495.0,STL,2.0,1.0,Go-Ahead Goal,2018
813,2,DAL,,Tyler Pitlick , Antoine Roussel,,13,00:27:04,00:07:04,DAL,2018-03-03,1,1,1624.0,DAL,1.0,0.0,Go-Ahead Goal,2018
814,2,STL,,Ivan Barbashev , Vince Dunn,Vladimir Tarasenko,5,00:33:06,00:13:06,DAL,2018-03-03,2,1,1986.0,DAL,1.0,1.0,Tie,2018
815,3,STL,,Jaden Schwartz , Colton Parayko,,19,00:52:43,00:12:43,DAL,2018-03-03,3,2,3163.0,DAL,1.0,2.0,Go-Ahead Goal,2018
816,3,DAL,,Alexander Radulov , Tyler Seguin,Jamie Benn,24,00:57:04,00:17:04,DAL,2018-03-03,4,2,3424.0,DAL,2.0,2.0,Tie,2018
817,OT1,DAL,,Jamie Benn , Tyler Seguin,,22,01:03:04,00:03:04,DAL,2018-03-03,5,3,3784.0,DAL,3.0,2.0,Go-Ahead Goal,2018
818,3,SJS,PP,Mikkel Boedker , Joonas Donskoi,Dylan DeMelo,13,00:52:12,00:12:12,SJS,2018-03-08,1,1,3132.0,SJS,1.0,0.0,Go-Ahead Goal,2018
819,3,SJS,EN,Tomas Hertl , Brent Burns,,16,00:59:45,00:19:45,SJS,2018-03-08,2,2,3585.0,SJS,2.0,0.0,Insurance Goal,2018
820,1,STL,,Robert Bortuzzo , Ivan Barbashev,Tage Thompson,2,00:03:03,00:03:03,LAK,2018-03-10,1,1,183.0,STL,0.0,1.0,Go-Ahead Goal,2018
