,Period,Team,Type,Scorer,Assist1,Assist2,Season Goal Number,Time in Game,Time in Period,Home Team,Date,Game Goal Number,Team Goal Number,Seconds,Winner,HomeGoal,AwayGoal,Impact
1500,1,BOS,PP,David Pastrnak , Patrice Bergeron,Jake Debrusk,12,00:05:11,00:05:11,BOS,2018-11-05,2,1,311.0,BOS,1.0,1.0,Tie
1501,1,BOS,PP,Brad Marchand , David Krejci,Torey Krug,5,00:04:29,00:04:29,BOS,2018-11-05,3,2,269.0,BOS,2.0,1.0,Go-Ahead Goal
1502,1,CBJ,PP,Anthony Duclair , Zach Werenski,Boone Jenner,6,00:19:00,00:19:00,CBJ,2018-11-06,1,1,1140.0,CBJ,1.0,0.0,Go-Ahead Goal
1503,2,CBJ,,Markus Nutivaara , Artemi Panarin,David Savard,2,00:31:05,00:11:05,CBJ,2018-11-06,2,2,1865.0,CBJ,2.0,0.0,Insurance Goal
1504,2,CBJ,,Nick Foligno , Alexander Wennberg,,5,00:37:14,00:17:14,CBJ,2018-11-06,3,3,2234.0,CBJ,3.0,0.0,Insurance Goal
1505,3,DAL,PP,Jamie Benn , Miro Heiskanen,John Klingberg,7,00:43:55,00:03:55,CBJ,2018-11-06,4,1,2635.0,CBJ,3.0,1.0,Lead Shrink
1506,3,CBJ,EN,Ryan Murray , Seth Jones,Brandon Dubinsky,1,00:58:06,00:18:06,CBJ,2018-11-06,5,4,3486.0,CBJ,4.0,1.0,Insurance Goal
1507,1,DAL,,Devin Shore , Tyler Seguin,Valeri Nichushkin,4,00:08:57,00:08:57,DAL,2018-11-08,1,1,537.0,DAL,1.0,0.0,Go-Ahead Goal
1508,1,SJS,,Timo Meier , Kevin Labanc,Logan Couture,12,00:14:18,00:14:18,DAL,2018-11-08,2,1,858.0,DAL,1.0,1.0,Tie
1509,2,DAL,,Tyler Seguin ,,,4,00:26:57,00:06:57,DAL,2018-11-08,3,2,1617.0,DAL,2.0,1.0,Go-Ahead Goal
1510,2,DAL,,Gemel Smith , Jason Dickinson,Miro Heiskanen,2,00:27:42,00:07:42,DAL,2018-11-08,4,3,1662.0,DAL,3.0,1.0,Insurance Goal
1511,2,SJS,,Joe Pavelski , Brent Burns,Joe Thornton,7,00:31:17,00:11:17,DAL,2018-11-08,5,2,1877.0,DAL,3.0,2.0,Go-Ahead Goal
1512,3,SJS,,Evander Kane , Brent Burns,Antti Suomela,5,00:47:46,00:07:46,DAL,2018-11-08,6,3,2866.0,DAL,3.0,3.0,Tie
1513,3,DAL,,Devin Shore , Dillon Heatherington,Blake Comeau,5,00:54:13,00:14:13,DAL,2018-11-08,7,4,3253.0,DAL,4.0,3.0,Go-Ahead Goal
1523,2,CBJ,PP,Cam Atkinson , Seth Jones,,8,00:21:29,00:01:29,DAL,2018-11-12,1,1,1289.0,CBJ,0.0,1.0,Go-Ahead Goal
1524,2,DAL,,Alexander Radulov , Miro Heiskanen,Jamie Benn,6,00:38:20,00:18:20,DAL,2018-11-12,2,1,2300.0,CBJ,1.0,1.0,Tie
1525,3,CBJ,,Pierre-Luc Dubois , Cam Atkinson,Ryan Murray,8,00:50:21,00:10:21,DAL,2018-11-12,3,2,3021.0,CBJ,1.0,2.0,Go-Ahead Goal
1526,OT1,DAL,,Jason Dickinson , Mattias Janmark,,4,01:01:34,00:01:34,DAL,2018-11-16,1,1,3694.0,DAL,1.0,0.0,Go-Ahead Goal
1527,1,NYI,,Anthony Beauvillier , Leo Komarov,Ryan Pulock,5,00:03:36,00:03:36,NYI,2018-11-18,1,1,216.0,DAL,1.0,0.0,Go-Ahead Goal
1528,2,DAL,,Esa Lindell , Tyler Seguin,Jamie Benn,2,00:22:09,00:02:09,NYI,2018-11-18,2,1,1329.0,DAL,1.0,1.0,Tie
1529,2,DAL,,Roope Hintz , Jason Spezza,,1,00:24:40,00:04:40,NYI,2018-11-18,3,2,1480.0,DAL,1.0,2.0,Go-Ahead Goal
1530,2,DAL,,Esa Lindell , Julius Honka,Jason Dickinson,3,00:27:08,00:07:08,NYI,2018-11-18,4,3,1628.0,DAL,1.0,3.0,Insurance Goal
1531,2,DAL,,Tyler Seguin , Alexander Radulov,Jamie Benn,6,00:34:07,00:14:07,NYI,2018-11-18,5,4,2047.0,DAL,1.0,4.0,Insurance Goal
1532,3,NYI,,Scott Mayfield , Mathew Barzal,,3,00:40:24,00:00:24,NYI,2018-11-18,6,2,2424.0,DAL,2.0,4.0,Lead Shrink
1533,3,DAL,,Alexander Radulov , Gavin Bayreuther,Jason Spezza,7,00:47:35,00:07:35,NYI,2018-11-18,7,5,2855.0,DAL,2.0,5.0,Insurance Goal
1534,3,DAL,,Alexander Radulov , Jamie Benn,Tyler Seguin,8,00:49:16,00:09:16,NYI,2018-11-18,8,6,2956.0,DAL,2.0,6.0,Insurance Goal
1535,2,DAL,PP,Tyler Seguin , Esa Lindell,Jason Spezza,7,00:22:17,00:02:17,NYR,2018-11-19,1,1,1337.0,NYR,0.0,1.0,Go-Ahead Goal
1536,2,NYR,,Jimmy Vesey , Marc Staal,Brett Howden,7,00:29:38,00:09:38,NYR,2018-11-19,2,1,1778.0,NYR,1.0,1.0,Tie
1537,3,NYR,,Filip Chytil , Brendan Smith,,4,00:44:32,00:04:32,NYR,2018-11-19,3,2,2672.0,NYR,2.0,1.0,Go-Ahead Goal
1538,1,PIT,,Jake Guentzel , Sidney Crosby,Jamie Oleksiak,8,00:03:58,00:03:58,PIT,2018-11-21,1,1,238.0,PIT,1.0,0.0,Go-Ahead Goal
1539,1,PIT,PP,Evgeni Malkin , Kris Letang,Phil Kessel,8,00:06:06,00:06:06,PIT,2018-11-21,2,2,366.0,PIT,2.0,0.0,Insurance Goal
1540,1,PIT,,Sidney Crosby , Jake Guentzel,Patric Hornqvist,9,00:10:04,00:10:04,PIT,2018-11-21,3,3,604.0,PIT,3.0,0.0,Insurance Goal
1541,2,PIT,,Patric Hornqvist , Olli Maatta,Sidney Crosby,9,00:23:20,00:03:20,PIT,2018-11-21,4,4,1400.0,PIT,4.0,0.0,Insurance Goal
1542,2,PIT,,Tanner Pearson , Derek Grant,,2,00:28:52,00:08:52,PIT,2018-11-21,5,5,1732.0,PIT,5.0,0.0,Insurance Goal
1543,3,DAL,,Roope Hintz , Alexander Radulov,Mattias Janmark,2,00:47:55,00:07:55,PIT,2018-11-21,6,1,2875.0,PIT,5.0,1.0,Lead Shrink
1544,1,OTT,,Ryan Dzingel , Bobby Ryan,Thomas Chabot,10,00:03:05,00:03:05,DAL,2018-11-23,1,1,185.0,DAL,0.0,1.0,Go-Ahead Goal
1545,1,DAL,,Jamie Benn , Tyler Seguin,Alexander Radulov,8,00:10:22,00:10:22,DAL,2018-11-23,2,1,622.0,DAL,1.0,1.0,Tie
1546,2,OTT,PP,Brady Tkachuk , Thomas Chabot,Bobby Ryan,7,00:30:02,00:10:02,DAL,2018-11-23,3,2,1802.0,DAL,1.0,2.0,Go-Ahead Goal
1547,2,DAL,,Miro Heiskanen , Alexander Radulov,Mattias Janmark,3,00:32:45,00:12:45,DAL,2018-11-23,4,2,1965.0,DAL,2.0,2.0,Tie
1548,2,DAL,,Taylor Fedun , Devin Shore,Roope Hintz,1,00:38:48,00:18:48,DAL,2018-11-23,5,3,2328.0,DAL,3.0,2.0,Go-Ahead Goal
1549,3,DAL,,Miro Heiskanen , Mattias Janmark,Devin Shore,4,00:44:40,00:04:40,DAL,2018-11-23,6,4,2680.0,DAL,4.0,2.0,Insurance Goal
1550,3,DAL,,Blake Comeau , Esa Lindell,Jason Dickinson,2,00:46:12,00:06:12,DAL,2018-11-23,7,5,2772.0,DAL,5.0,2.0,Insurance Goal
1551,3,OTT,,Maxime Lajoie , Matt Duchene,,6,00:50:36,00:10:36,DAL,2018-11-23,8,3,3036.0,DAL,5.0,3.0,Lead Shrink
1552,3,OTT,,Zack Smith , Bobby Ryan,Matt Duchene,4,00:53:54,00:13:54,DAL,2018-11-23,9,4,3234.0,DAL,5.0,4.0,Go-Ahead Goal
1553,3,DAL,EN,Gavin Bayreuther ,,,1,00:57:50,00:17:50,DAL,2018-11-23,10,6,3470.0,DAL,6.0,4.0,Insurance Goal
1554,2,COL,,Nathan MacKinnon , Mikko Rantanen,Gabriel Landeskog,15,00:33:11,00:13:11,COL,2018-11-24,1,1,1991.0,COL,1.0,0.0,Go-Ahead Goal
1555,3,DAL,,Radek Faksa , Alexander Radulov,,4,00:51:32,00:11:32,COL,2018-11-24,2,1,3092.0,COL,1.0,1.0,Tie
1556,3,DAL,,Jamie Benn , Tyler Seguin,Alexander Radulov,9,00:55:03,00:15:03,COL,2018-11-24,3,2,3303.0,COL,1.0,2.0,Go-Ahead Goal
1557,3,COL,,J.T. Compher , Alexander Kerfoot,Tyson Jost,6,00:57:18,00:17:18,COL,2018-11-24,4,2,3438.0,COL,2.0,2.0,Tie
1558,3,COL,,Mikko Rantanen , Erik Johnson,Nathan MacKinnon,10,00:58:04,00:18:04,COL,2018-11-24,5,3,3484.0,COL,3.0,2.0,Go-Ahead Goal
1559,OT1,EDM,,Oscar Klefbom , Leon Draisaitl,,1,01:02:42,00:02:42,EDM,2018-11-27,1,1,3762.0,EDM,1.0,0.0,Go-Ahead Goal
1560,1,DAL,,Jason Spezza , Radek Faksa,Miro Heiskanen,5,00:00:41,00:00:41,CGY,2018-11-28,1,1,41.0,DAL,0.0,1.0,Go-Ahead Goal
1561,1,CGY,,Garnet Hathaway , Mark Jankowski,Dillon Dube,3,00:16:39,00:16:39,CGY,2018-11-28,2,1,999.0,DAL,1.0,1.0,Tie
1562,2,DAL,PP,Jamie Benn , Tyler Seguin,Gavin Bayreuther,10,00:38:02,00:18:02,CGY,2018-11-28,3,2,2282.0,DAL,1.0,2.0,Go-Ahead Goal
1563,3,CGY,PP,Johnny Gaudreau , Elias Lindholm,Mark Giordano,9,00:49:41,00:09:41,CGY,2018-11-28,4,2,2981.0,DAL,2.0,2.0,Tie
1564,3,CGY,,Mark Giordano , T.J. Brodie,Mikael Backlund,3,00:50:51,00:10:51,CGY,2018-11-28,5,3,3051.0,DAL,3.0,2.0,Go-Ahead Goal
1565,3,DAL,,Gavin Bayreuther ,,,2,00:53:15,00:13:15,CGY,2018-11-28,6,3,3195.0,DAL,3.0,3.0,Tie
1566,1,DAL,,Tyler Seguin , Jamie Benn,,8,00:00:24,00:00:24,CGY,2018-11-28,7,4,24.0,DAL,3.0,4.0,Go-Ahead Goal
1567,1,VAN,,Bo Horvat , Antoine Roussel,Tyler Motte,12,00:15:18,00:15:18,VAN,2018-12-01,1,1,918.0,DAL,1.0,0.0,Go-Ahead Goal
1568,3,DAL,,Jamie Benn , Tyler Seguin,Miro Heiskanen,11,00:50:19,00:10:19,VAN,2018-12-01,2,1,3019.0,DAL,1.0,1.0,Tie
1569,3,DAL,,Alexander Radulov , Jamie Benn,,9,00:56:37,00:16:37,VAN,2018-12-01,3,2,3397.0,DAL,1.0,2.0,Go-Ahead Goal
1570,1,DAL,,Jason Dickinson , Mattias Janmark,Brett Ritchie,5,00:10:59,00:10:59,DAL,2018-12-03,1,1,659.0,DAL,1.0,0.0,Go-Ahead Goal
1571,3,DAL,,Brett Ritchie , Mattias Janmark,,1,00:41:51,00:01:51,DAL,2018-12-03,2,2,2511.0,DAL,2.0,0.0,Insurance Goal
1572,3,DAL,PP,Jamie Benn , Gavin Bayreuther,Alexander Radulov,12,00:47:24,00:07:24,DAL,2018-12-03,3,3,2844.0,DAL,3.0,0.0,Insurance Goal
1573,3,EDM,,Jujhar Khaira , Leon Draisaitl,Chris Wideman,1,00:54:36,00:14:36,DAL,2018-12-03,4,1,3276.0,DAL,3.0,1.0,Lead Shrink
1574,3,DAL,SHEN,Esa Lindell ,,,4,00:57:46,00:17:46,DAL,2018-12-03,5,4,3466.0,DAL,4.0,1.0,Insurance Goal
1575,1,SJS,,Evander Kane , Erik Karlsson,Joonas Donskoi,8,00:09:22,00:09:22,DAL,2018-12-07,1,1,562.0,DAL,0.0,1.0,Go-Ahead Goal
1576,2,DAL,,Mattias Janmark , Roman Polak,,2,00:34:05,00:14:05,DAL,2018-12-07,2,1,2045.0,DAL,1.0,1.0,Tie
1577,3,DAL,,Miro Heiskanen , Tyler Pitlick,Radek Faksa,5,00:44:38,00:04:38,DAL,2018-12-07,3,2,2678.0,DAL,2.0,1.0,Go-Ahead Goal
1578,3,DAL,,Brett Ritchie , Devin Shore,Jason Spezza,2,00:46:26,00:06:26,DAL,2018-12-07,4,3,2786.0,DAL,3.0,1.0,Insurance Goal
1579,3,SJS,,Logan Couture , Erik Karlsson,Brenden Dillon,9,00:46:59,00:06:59,DAL,2018-12-07,5,2,2819.0,DAL,3.0,2.0,Go-Ahead Goal
1580,1,DAL,PP,Martin Hanzal , Miro Heiskanen,Esa Lindell,1,00:06:29,00:06:29,VEG,2018-12-09,1,1,389.0,VEG,0.0,1.0,Go-Ahead Goal
1581,1,VEG,,Ryan Carpenter , Oscar Lindberg,Brayden McNabb,1,00:16:12,00:16:12,VEG,2018-12-09,2,1,972.0,VEG,1.0,1.0,Tie
1582,2,VEG,,William Karlsson , Nate Schmidt,Shea Theodore,10,00:31:48,00:11:48,VEG,2018-12-09,3,2,1908.0,VEG,2.0,1.0,Go-Ahead Goal
1583,2,VEG,,Alex Tuch , Max Pacioretty,Colin Miller,10,00:38:17,00:18:17,VEG,2018-12-09,4,3,2297.0,VEG,3.0,1.0,Insurance Goal
1584,3,DAL,PP,Esa Lindell , Jason Spezza,Miro Heiskanen,5,00:48:33,00:08:33,VEG,2018-12-09,5,2,2913.0,VEG,3.0,2.0,Go-Ahead Goal
1585,3,VEG,PPEN,Reilly Smith , Colin Miller,,6,00:59:32,00:19:32,VEG,2018-12-09,6,4,3572.0,VEG,4.0,2.0,Insurance Goal
1586,1,ANA,,Ondrej Kase , Pontus Aberg,,6,00:06:38,00:06:38,ANA,2018-12-12,1,1,398.0,ANA,1.0,0.0,Go-Ahead Goal
1587,2,DAL,PP,Miro Heiskanen , Jason Spezza,Esa Lindell,6,00:26:01,00:06:01,ANA,2018-12-12,2,1,1561.0,ANA,1.0,1.0,Tie
1588,2,DAL,,Blake Comeau , Devin Shore,Jason Dickinson,3,00:28:07,00:08:07,ANA,2018-12-12,3,2,1687.0,ANA,1.0,2.0,Go-Ahead Goal
1589,2,DAL,PP,Alexander Radulov , Taylor Fedun,Devin Shore,10,00:31:20,00:11:20,ANA,2018-12-12,4,3,1880.0,ANA,1.0,3.0,Insurance Goal
1590,2,ANA,,Ondrej Kase , Ryan Getzlaf,,7,00:36:30,00:16:30,ANA,2018-12-12,5,2,2190.0,ANA,2.0,3.0,Go-Ahead Goal
1591,3,ANA,,Ondrej Kase , Nick Ritchie,Brandon Montour,8,00:50:45,00:10:45,ANA,2018-12-12,6,3,3045.0,ANA,3.0,3.0,Tie
1592,3,ANA,,Brandon Montour , Ryan Getzlaf,,5,00:52:06,00:12:06,ANA,2018-12-12,7,4,3126.0,ANA,4.0,3.0,Go-Ahead Goal
1593,3,ANA,,Jakob Silfverberg , Andrew Cogliano,Brandon Montour,9,00:53:44,00:13:44,ANA,2018-12-12,8,5,3224.0,ANA,5.0,3.0,Insurance Goal
1594,3,ANA,EN,Hampus Lindholm , Brandon Montour,,4,00:59:29,00:19:29,ANA,2018-12-12,9,6,3569.0,ANA,6.0,3.0,Insurance Goal
1595,2,DAL,,Radek Faksa , Julius Honka,Valeri Nichushkin,5,00:23:35,00:03:35,SJS,2018-12-13,1,1,1415.0,SJS,0.0,1.0,Go-Ahead Goal
1596,2,SJS,,Timo Meier , Brent Burns,Logan Couture,17,00:36:20,00:16:20,SJS,2018-12-13,2,1,2180.0,SJS,1.0,1.0,Tie
1597,3,SJS,,Timo Meier , Logan Couture,Erik Karlsson,18,00:42:50,00:02:50,SJS,2018-12-13,3,2,2570.0,SJS,2.0,1.0,Go-Ahead Goal
1598,3,SJS,,Joe Thornton , Radim Simek,Marcus Sorensen,5,00:47:56,00:07:56,SJS,2018-12-13,4,3,2876.0,SJS,3.0,1.0,Insurance Goal
1599,3,DAL,,Miro Heiskanen , Jamie Benn,Tyler Seguin,7,00:52:24,00:12:24,SJS,2018-12-13,5,2,3144.0,SJS,3.0,2.0,Go-Ahead Goal
1600,1,COL,PP,Gabriel Landeskog , Tyson Barrie,Nathan MacKinnon,20,00:05:45,00:05:45,COL,2018-12-15,1,1,345.0,COL,1.0,0.0,Go-Ahead Goal
1601,1,COL,,Matt Calvert , Matthew Nieto,,5,00:07:57,00:07:57,COL,2018-12-15,2,2,477.0,COL,2.0,0.0,Insurance Goal
1602,1,COL,PP,Mikko Rantanen , Nathan MacKinnon,,14,00:19:45,00:19:45,COL,2018-12-15,3,3,1185.0,COL,3.0,0.0,Insurance Goal
