,Period,Team,Type,Scorer,Assist1,Assist2,Season Goal Number,Time in Game,Time in Period,Home Team,Date,Game Goal Number,Team Goal Number,Seconds,Winner,HomeGoal,AwayGoal,Impact
30,3,BOS,,David Pastrnak , Brad Marchand,Patrice Bergeron,7,00:42:05,00:02:05,BOS,2018-10-13,6,5,2525.0,BOS,5.0,1.0,Insurance Goal
31,3,DET,SH,Dylan Larkin , Frans Nielsen,Nick Jensen,3,00:48:23,00:08:23,BOS,2018-10-13,7,2,2903.0,BOS,5.0,2.0,Lead Shrink
32,3,BOS,,Anders Bjork ,,,1,00:50:12,00:10:12,BOS,2018-10-13,8,6,3012.0,BOS,6.0,2.0,Insurance Goal
33,3,BOS,,Jake Debrusk , Brandon Carlo,David Krejci,2,00:55:15,00:15:15,BOS,2018-10-13,9,7,3315.0,BOS,7.0,2.0,Insurance Goal
34,3,BOS,,Sean Kuraly , Kevan Miller,Anders Bjork,1,00:59:58,00:19:58,BOS,2018-10-13,10,8,3598.0,BOS,8.0,2.0,Insurance Goal
35,1,CGY,,Michael Frolik , Mikael Backlund,Matthew Tkachuk,2,00:05:34,00:05:34,CGY,2018-10-17,1,1,334.0,CGY,1.0,0.0,Go-Ahead Goal
36,1,CGY,,Johnny Gaudreau , Sean Monahan,Noah Hanifin,3,00:15:20,00:15:20,CGY,2018-10-17,2,2,920.0,CGY,2.0,0.0,Insurance Goal
37,1,CGY,,Juuso Valimaki , Michael Stone,Mark Jankowski,1,00:16:08,00:16:08,CGY,2018-10-17,3,3,968.0,CGY,3.0,0.0,Insurance Goal
38,2,BOS,,Patrice Bergeron , David Krejci,,6,00:22:40,00:02:40,CGY,2018-10-17,4,1,1360.0,CGY,3.0,1.0,Lead Shrink
39,2,CGY,,Michael Frolik , Mikael Backlund,,3,00:23:32,00:03:32,CGY,2018-10-17,5,4,1412.0,CGY,4.0,1.0,Insurance Goal
40,2,BOS,,Brad Marchand , Patrice Bergeron,David Pastrnak,2,00:33:45,00:13:45,CGY,2018-10-17,6,2,2025.0,CGY,4.0,2.0,Lead Shrink
41,3,CGY,EN,Matthew Tkachuk , Michael Stone,,2,00:59:09,00:19:09,CGY,2018-10-17,7,5,3549.0,CGY,5.0,2.0,Insurance Goal
