,Period,Team,Type,Scorer,Assist1,Assist2,Season Goal Number,Time in Game,Time in Period,Home Team,Date,Game Goal Number,Team Goal Number,Seconds,Winner,HomeGoal,AwayGoal,Impact
456,2,CGY,SH,Mark Jankowski , Elias Lindholm,Mark Giordano,11,00:27:16,00:07:16,WPG,2019-03-16,2,1,1636.0,WPG,1.0,1.0,Tie
457,2,WPG,PP,Mathieu Perreault , Jack Roslovic,Tyler Myers,14,00:30:18,00:10:18,WPG,2019-03-16,3,2,1818.0,WPG,2.0,1.0,Go-Ahead Goal
458,1,CBJ,,Zach Werenski , Artemi Panarin,,11,00:10:25,00:10:25,CGY,2019-03-19,1,1,625.0,CGY,0.0,1.0,Go-Ahead Goal
459,1,CGY,,Johnny Gaudreau , Derek Ryan,Austin Czarnik,35,00:12:44,00:12:44,CGY,2019-03-19,2,1,764.0,CGY,1.0,1.0,Tie
460,1,CGY,,Andrew Mangiapane , Mark Jankowski,Austin Czarnik,5,00:19:52,00:19:52,CGY,2019-03-19,3,2,1192.0,CGY,2.0,1.0,Go-Ahead Goal
461,2,CGY,,Michael Frolik , T.J. Brodie,Mark Giordano,15,00:20:35,00:00:35,CGY,2019-03-19,4,3,1235.0,CGY,3.0,1.0,Insurance Goal
462,3,CBJ,PP,Oliver Bjorkstrand , Josh Anderson,Zach Werenski,15,00:45:28,00:05:28,CGY,2019-03-19,5,2,2728.0,CGY,3.0,2.0,Go-Ahead Goal
463,3,CGY,EN,Matthew Tkachuk , Mikael Backlund,Michael Frolik,33,00:59:09,00:19:09,CGY,2019-03-19,6,4,3549.0,CGY,4.0,2.0,Insurance Goal
464,1,OTT,,Dylan DeMelo , Anthony Duclair,Brian Gibbons,4,00:04:30,00:04:30,CGY,2019-03-21,1,1,270.0,CGY,0.0,1.0,Go-Ahead Goal
465,1,CGY,SH,Mark Giordano ,,,15,00:08:54,00:08:54,CGY,2019-03-21,2,1,534.0,CGY,1.0,1.0,Tie
