,Period,Team,Type,Scorer,Assist1,Assist2,Season Goal Number,Time in Game,Time in Period,Home Team,Date,Game Goal Number,Team Goal Number,Seconds,Winner,HomeGoal,AwayGoal,Impact
35,2,WSH,PP,Evgeny Kuznetsov , Nicklas Backstrom,Alex Ovechkin,4,00:24:39,00:04:39,WSH,2018-10-13,3,2,1479.0,TOR,2.0,1.0,Go-Ahead Goal
36,2,TOR,,Par Lindholm , Jake Gardiner,Connor Brown,1,00:38:53,00:18:53,WSH,2018-10-13,4,2,2333.0,TOR,2.0,2.0,Tie
37,3,TOR,PP,Josh Leivo , Andreas Johnsson,Connor Brown,1,00:46:28,00:06:28,WSH,2018-10-13,5,3,2788.0,TOR,2.0,3.0,Go-Ahead Goal
38,3,TOR,,Auston Matthews , Kasperi Kapanen,Morgan Rielly,10,00:58:21,00:18:21,WSH,2018-10-13,6,4,3501.0,TOR,2.0,4.0,Insurance Goal
39,1,NYR,,Mika Zibanejad , Chris Kreider,Neal Pionk,2,00:06:09,00:06:09,WSH,2018-10-17,1,1,369.0,WSH,0.0,1.0,Go-Ahead Goal
40,1,WSH,,John Carlson , Nicklas Backstrom,,3,00:14:05,00:14:05,WSH,2018-10-17,2,1,845.0,WSH,1.0,1.0,Tie
41,2,WSH,PP,Alex Ovechkin , John Carlson,Brett Connolly,5,00:23:32,00:03:32,WSH,2018-10-17,3,2,1412.0,WSH,2.0,1.0,Go-Ahead Goal
42,2,NYR,PP,Jimmy Vesey , Neal Pionk,Brett Howden,3,00:32:42,00:12:42,WSH,2018-10-17,4,2,1962.0,WSH,2.0,2.0,Tie
43,2,WSH,PP,Alex Ovechkin , John Carlson,Nicklas Backstrom,6,00:37:01,00:17:01,WSH,2018-10-17,5,3,2221.0,WSH,3.0,2.0,Go-Ahead Goal
44,3,NYR,PP,Chris Kreider , Neal Pionk,Mika Zibanejad,4,00:50:25,00:10:25,WSH,2018-10-17,6,3,3025.0,WSH,3.0,3.0,Tie
45,1,WSH,,Matt Niskanen , Evgeny Kuznetsov,T.J. Oshie,1,00:02:18,00:02:18,WSH,2018-10-17,7,4,138.0,WSH,4.0,3.0,Go-Ahead Goal
46,1,FLA,,Vincent Trocheck , Jonathan Huberdeau,Alexander Petrovic,2,00:10:49,00:10:49,WSH,2018-10-19,1,1,649.0,Shootout,0.0,1.0,Go-Ahead Goal
47,1,WSH,,John Carlson , Lars Eller,Michal Kempny,4,00:15:26,00:15:26,WSH,2018-10-19,2,1,926.0,Shootout,1.0,1.0,Tie
48,1,FLA,PP,Evgenii Dadonov , Aleksander Barkov,Vincent Trocheck,3,00:15:58,00:15:58,WSH,2018-10-19,3,2,958.0,Shootout,1.0,2.0,Go-Ahead Goal
49,1,FLA,,Colton Sceviour , Jonathan Huberdeau,Vincent Trocheck,1,00:16:36,00:16:36,WSH,2018-10-19,4,3,996.0,Shootout,1.0,3.0,Insurance Goal
50,1,FLA,,Jared McCann , Denis Malgin,Keith Yandle,1,00:18:52,00:18:52,WSH,2018-10-19,5,4,1132.0,Shootout,1.0,4.0,Insurance Goal
51,2,WSH,,Brett Connolly , Jakub Vrana,Christian Djoos,1,00:21:48,00:01:48,WSH,2018-10-19,6,2,1308.0,Shootout,2.0,4.0,Lead Shrink
52,2,WSH,,Jakub Vrana , Lars Eller,Brett Connolly,2,00:28:38,00:08:38,WSH,2018-10-19,7,3,1718.0,Shootout,3.0,4.0,Go-Ahead Goal
